,content
253,"suka sama aplikasi nya Binar. Interfacenya lumayan asik & Friendly, rasanya kayak lagi main games daripada belajar 😄 pas buat yang gampang bosen & nggak terlalu kaku. Namun untuk bagian ""Insight"" mataku masih sakit, karena tampilan nya terlalu banyak teks dan ukuran nya besar. Aku harap akan disesuaikan, dibuat lebih minimalis & sederhana."
254,"a very helpful learning platform! it's easy to use, w/ very comprehensive yet fun-to-read materials on the inside. great app!"
255,"Aplikasi simpel, mudah digunakan, dan sesuai kebutuhan bagi yang membutuhkan ilmu tersebut, harga per event nya pun terjangkau. Untuk aplikasi, saya merasa ada kekurangan sedikit, pada Halaman insight, bagian live event, ketika ingin swipe event ke kiri/kanan dari tengah kurang responsive, jari harus berada di kanan untuk menggeser event ke arah kanan, dan harus di kiri untuk menggeser ke arah kiri. Terima kasih."
256,"Gilaaaa,suka bet nih aplkasi,belajar disini gampang banget di pahami dan gak bikin bosan.Yuk download Binar Academy😊😊"
257,"Kadang suka error waktu lagi belajar materi yg silver dan gold app nya, apa hp saya yg butut apa emg app nya gatau sisa nya aman sentosa, terima kasih banyak syurga ente semua inshaAllah🙏"
258,"Senyaman itu woi belajar programming di sini, sumpah mau meninggal!!"
259,"Love the apps, Easy to use and Informative"
260,"Wahh , baru tau bsa bljr digital marketing jga dsni !!! Keren !!!"
261,The app doesn't translate...its not in English it sucks
262,Bermanfaat banget
263,A decent platform to learn
264,"Great place to learn something new, especially when you're interested in learning about programming, ui/ux, etc."
265,Mantap
266,It's awesome app 👍
267,Good and fun experience to learn!
268,Keren bgt appnya
269,The material is very good and can support us to have better skill
270,"Belajar koding perlu konsistensi, pake app binar ini jadi lebih gampang aksesnya mudah"
271,"Menyenangkan sekali menggunakan binar, appsnya mudah dipahami dan materinya juga tidak monoton"
272,Materi yang mudah dipahami dan user interface yang menarik menjadi alasan kenapa Binar Academy merupakan salah satu mobile e-learning terbaik di Indonesia.
273,Sangat membantu untuk dapat berkembang di industri tech 👍
274,Great app with many available useful course to be learnt.
275,mantap dan berguna banget
276,Appnya lancar dan penampilannya me arik
277,"Aplikasinya bagus, simple dan menarik untuk digunakan"
278,"It's a great app to enlarge my knowledge and enrich skills, this app is so recommended"
279,This is a great apps n I think this apps can help a lot of people to learn about tech n another skill
280,"Nice app, very helpful"
281,Good app to learn from basic
282,"Look Good Visually, easy to navigate"
283,Promonya nicee
284,Cool app with great UX!
285,Makin mantap
286,Good
287,great
288,Masih banyak bug
289,🖕apk nya jelek
290,Love it helps me understand
291,Yes usefull
292,Sering gagal memuat materi
293,Ok
294,"ada bug pas back dr materi, hitungan progres materinya gk nambah"
295,"Habis registrasi, gak ke load sama sekali materinya"
296,So laggy
297,Loading terlalu lama
298,Gak bisa lanjut ke topik selanjutnya karena gak ada tombol lanjut. Jadi nervous kalo mau beli yg premium.
299,Jadi lambat bgt setelah update gabisa next materi :(
300,Appnya sering berhenti sendiri. Padahal materi-materinya lumayan. Sayang banget.
301,"Di update mlah sering ngeBug Min, kluar sendiri, stelah mencet ""cek"" juga lama jedanya untuk nmpilikan materi selanjutnya."
302,"Aplikasi yang sangat bermanfaat bagi orang-orang yang ingin tahu lebih dalam mengenai programming, recommended!"
303,Ilmu bagi saya adalah bekal yang sangat penting dimasa depan dengan aplikasi ini saya dapat meningkatkan pengetahuan dan ilmu. Great job 👍
304,Sudah tersertifikasi Education Appiance Finland👍
305,bagus
306,"Aplikasi sangat menarik, hanya saja materi terlalu basic untuk saya. Saya yakin banyak orang lain yang lebih membutuhkan aplikasi ini daripada saya. Good job."
307,Sangat mudah untuk digunakan
308,Great App
309,Very comprehensive for product management knowledge
310,"Sudah diperbaiki bugnya, semoga lancar terus ya appnya, bagus banget idenya dan materinya sangat berguna ✨"
311,"Sometimes when open the next page, can't see the images."
312,"Cannot register at all, no response after filling name."
313,Can't register
314,Cannot login or register after update.
315,"Parah sih, bagus banget, membantu saya yg baru mau masuk ilmu komputer tapi belum bisa programming"
316,Aplikasinya edukatif dan menyenangkan sekali. Bikin belajar it serasa bermain 🤍
317,"I'm not hating the app, the beginner (silver) materials are actually good for introducing basic requirements to understand programmings BUT these materials are also available on other sources and even there's a whole website providing a whole course to complete mastery for web development and data science, (and even giving full practice for job interviews) for free And this my personal thoughts, the way you lock the gold materials for premium are almost imitating cash grab."
318,Great app
319,"Sementara bintang 1 dulu ya. Aplikasinya sudah bagus, namun sangat disayangkan karena ada bug justru di hal yang paling krusial yaitu materinya yang tidak bisa diakses sudah berhari-hari."
320,Sangat Bermanfaat
321,I'm came here from MakanTalks
322,ga bisa reset password
323,"Mantaplah, design bersih penjelasan to the point"
324,"Cukup bintang 4 dahulu, jikalau nanti kursus sudah selesai baru dan tidak ada kendala baru bintang 5"
325,"Materi yang diajarkan sangat lengkap dan disajikan dengan menarik, ringkas, dan atraktif dengan ilustrasi dan contoh yang mudah dimengerti, jadi pertimbangan untuk ikut course premiumnya"
326,Aplikasi Media belajar yang menarik dan penyampaiannya mudah di pahami.greaattt
327,"Pelajarannya banyak yg ngaco. Benerin dulu konten basicnya baru jualan premium. Masa banyak kuis yang jawabannya katanya yg benar B tapi kliknya A. trus pertanyaan juga gak jelas, bilang kalo yg ditanya itu hasil console.log, kalo langsung ditanya nilai berapa ya gw sebagai noob gak kepikiran maksudnya itu console.log Kalo materi gak rapih malah bikin saya yg noob makin pusing. GAK JADI BELI PREMIUM"
328,Mantapp
329,Not even a single second wasted. Great App!!
330,"Informative, simple, straightforward, classy design as well!"
331,طَلَبُ اْلعِلْمْ فَرِثْضَةٌ عَلَى كُلِّ مُسْلِمٍ
332,"Salut tri, Mudah belajarnya ternyata."
333,Very helpful! Love it!
334,Insyallah membawa manfaat dan menambah wawasan.
335,"Good, usefull, addictive app. 🤘"
336,Good Apps and Good Content from Best People. Nice tri
337,Recommended banget. Thanks Tri Binar
338,Menarik gu! Materi dan metode belajarnya gak bikin bosen.
339,"Ente keren tadz, membantu mempermudah belajar."
340,Cool Apps! ❤️
341,Berkah njagong. Muwantep mas to. 👍
342,"Ijin sedot ilmunya yang mantab, pak tri."
343,"Aplikasi idolaku, mantab pak yan."
344,"course network sec dong, tri."
345,YTO mencerdaskan bangsa. Lanjutkan!
346,"Kwreeennn , materinya mudah dipahami 😘"
347,"Very good apps! Thanks for this, keep it up!"
348,Great app! materinya menarik banget.
349,Very interestimg topic. Stimulates my curiosity. Kelas2 nya menarik. Harganya juga jauh lebih bersahabat dibandingkan toko sebelah. Worth every penny
350,"Nicee, materi udah dipahami. Informasinya ga belibet"
351,"Kyai Gondrong, mantap ini yi! Terimakasih sudah mengabarkan hal-hal baik dan bermanfaat. Barokallah Binar dan Tim."
352,"Great learning apps, it is an interesting way to get started with programming!"
353,🤩🤩🤩🤩
354,"RW01 Hadir. Mantap, buat alternatif bekal tambahan ilmu anak, terjun ke dunia kerja kedepannya yang semakin digital. Terimakasih rekomendasinya ndan."
355,"Assalamualaikum.. Rekomendasi Ustadz gak pernah salah, ajib. Mudah dipakenya, bagus materinya. Tambah course digital marketing dong!. Wassalamualaikum.."
356,Keren pak Tri infonya. Cocok buat anak saya ini mah. Kamsia
357,"Denger dari arisan, cus download. Keren juga bisa belajar teknologi dengan mudah. Thanks Binar & Bosku. Terus ditambah materi dan course yang lainnya."
358,Sangat bermanfaat bagi yg ingin menggunakan otaknya... Sukses Binar Academy...
359,Mantap Ndan 3gu. Siap belajar lagi.
360,Very nice app and easy to use! Good jobbb go go local product!
361,Nice apps for learning ->-
362,"Materi dan analogi yang diberikan sangat memudahkan. Belajar hal yang baru, jadi mudah buat saya. Makasih Binar"
363,well done great job love it!!
364,"Thanks Binar for the free resources, much appreciated! Please add more product management content, i need it!"
365,App yang sangat bagus untuk belajar skill-skill yang relevan di era modern ini
366,Course for kids nya ditunggu kak. Biar bisa belajar bareng anak.
367,Aplikasi referensi dari geng RW. Mantab ternyata. ijin belajar digitalisasi pak Yan 😁
368,Yang ditunggu sudah tiba. Thanks Binar
369,Coming across this app is like a blessing! I can learn about tech during my free time and for freeee!! The material is so easy to understand for a newbie like me. What else can i ask thx binar!! Otw menabung utk beli kelas goldnya 🙌
370,Berkat mengikuti binar academy saya sekarang Bisa bekerja sebagai software developer. Terima kasih binar
371,"Nice view, feels comfort, good looking"
372,Aplikasi semakin bagus. Walau saya gagal di Synergy Bootcamp saya tahu Binar memang bagua. Semoga saya keterima di bootcamp binar gratis selanjutnya hehe
373,I hope there is BE class :D :D
374,very helpful! I hope soon will be offline class too
375,"Awesome!, ditunggu course keren lainnya."
376,nice
377,Interesting App
378,"Overall, the contents are insightful and it helps boosting the learning experience"
379,a very good app!! lengkap sekali informasi dan materi yg dibutuhkan 🥰
380,Makin mantep aplikasinya.
381,Easy to reach apps
382,Awesome apps to learning programming
383,Aplikasi pembelajaran yang keren. Saya baru nyoba dan langsung ketagihan. Tapi sayang pilihan coursenya terbatas. Semoga bisa diperbanyak ke depannya.
384,"Bagus banget, anak saya jadi mudah belajarnya. Terimakasih Binar. ❤️"
385,Mudah dipahami dan mudah cara belajarnya.
386,"Keren, gak ngadi ngadi. Daging semua!"
387,Sudah saya tunggu upgrade terbaru. Jadi bisa baca lebih dari satu course. Pengen belajar android lagi
388,"Katanya ada update hari ini, pas download updateannya katanya ""sedang melakukan perbaikan, silahkan kembali pada tanggal 7 Jan"" Lel"
389,Sangat bermanfaat
390,Bagus bgt. Penjelasannya simple
391,"This app very nice, because we are taught from zero to hero, Thank's binary academy."
392,"System pembelajaran interactive Dan menarik, user juga di perkenalkan soal programmer, seperti UI/UX, Scrum master, Product Owner, Back end, Front end Dan mobile. Jadi user lebih mengerti."
393,Nicee
394,"berharap ada materi lain, yang paling saya tunggu materi tentang QA. Semoga cepat ada materi tentang QA"
395,Penjelasan nya dengan analogi cukup mudah dimengerti. App yang sangat membantu buat kamu yang mau mulai belajar coding. Tapi kenapa gambar nya tidak keluar ya hp saya?
396,Bagus bgt UI/UX nya dan mudah digunakan. I love binar
397,"Nice app, need improvement on image loading speed"
398,Keep it up gaes! 💪
399,"Udh keren kok, tapi pas materi tolong tambahin tombol back dong. Jadi pas lagi kepencet next materi bisa back ke materi sebelumnya. Makasih!"
400,"Dari awal ganti format ini, aku udah nungguin banget gimana Binar bisa ngejelasin ""how to code"" dengan ringkas tapi padat isinya, gampang dipahamin bahkan utk awam/non tech graduates sekalipun. Looks like you guys did it! Gabisa ngasih 10 star rating aja apa ya? Kudos to mbak Alamanda & the whole Binar Academy team! PS: Aku nunggu kelas2 nya yg lain kaya UI/UX *uhuk* di app ya!"
401,"sangat mengedukasi, good"
402,Mantap jiwa appnya
403,aplikasi yg sangat bgs.. materiny sangat mudah di mengerti..
404,Materi nya jelas dan mudah untuk d mengerti.
405,"App yang sangat menarik, content bagus mudah untuk memahaminya. Good job binar, lanjutkan!"
406,saya menghargai usaha teman saya yang buat app-nya.
407,Awesome! Can't wait for the release of the other courses. All the best!
408,Awesome apps for learning programming tips
409,Mangstap kak!!
410,"saya menghargai usaha teman saya yang buat app-nya. makasih, nes. 👌🏻"
411,"saya menghargai usaha teman saya yang buat app-nya. makasih, nes. 👌🏻"
